original_meme_id,template_id
5163,5163_template
5663,5663_template
6016,6016_template
6179,6179_template
7217,7217_template
8908,8908_template
8936,8936_template
8960,8960_template
8976,8976_template
9224,9224_template
9814,9814_template
13024,13024_template
13025,13025_template
13030,13030_template
13043,13043_template
13046,13046_template
13049,13049_template
13050,13050_template
13057,13057_template
13060,13060_template
13064,13064_template
13084,13084_template
13088,13088_template
13094,13094_template
13100,13100_template
13110,13110_template
13116,13116_template
13118,13118_template
13119,13119_template
13130,13130_template
13144,13144_template
13162,13162_template
13196,13196_template
13218,13218_template
14287,14287_template
14297,14297_template
14889,14889_template
4804,4804_template
4928,4928_template
5132,5132_template
3,3_template
4,4_template
7,7_template
8,8_template
9,9_template
10,10_template
12,12_template
13,13_template
14,14_template
15,15_template
17,17_template
18,18_template
20,20_template
21,21_template
23,23_template
24,24_template
25,25_template
26,26_template
27,27_template
28,28_template
30,30_template
32,32_template
33,33_template
34,34_template
35,35_template
36,36_template
37,37_template
38,38_template
39,39_template
42,42_template
45,45_template
46,46_template
48,48_template
49,49_template
50,50_template
51,51_template
52,52_template
53,53_template
54,54_template
55,55_template
56,56_template
58,58_template
59,59_template
62,62_template
67,67_template
71,71_template
82,82_template
86,86_template
89,89_template
90,90_template
92,92_template
93,93_template
96,96_template
100,100_template
101,101_template
102,102_template
108,108_template
109,109_template
